Alabama,AL,2 Hours ,3 Hours
Birmingham International Airport,BHM,2 Hours ,3 Hours
Dothan Regional Airport,DHN,2 Hours ,3 Hours
Huntsville International Airport,HSV,2 Hours ,3 Hours
Mobile,MOB,2 Hours ,3 Hours
Montgomery,MGM,2 Hours ,3 Hours
Alaska,AK,2 Hours ,3 Hours
Anchorage International Airport,ANC,2 Hours ,3 Hours
Fairbanks International Airport,FAI,2 Hours ,3 Hours
Juneau International Airport,JNU,2 Hours ,3 Hours
Arizona,AZ,2 Hours ,3 Hours
Flagstaff,FLG,2 Hours ,3 Hours
"Phoenix,ÿPhoenix Sky Harbor International Airport",PHX,2 Hours ,3 Hours
Tucson International Airport,TUS,2 Hours ,3 Hours
Yuma International Airport,YUM,2 Hours ,3 Hours
Arkansas,AR,2 Hours ,3 Hours
Fayetteville,FYV,2 Hours ,3 Hours
Little Rock National Airport,LIT,2 Hours ,3 Hours
Northwest Arkansas Regional Airport,XNA,2 Hours ,3 Hours
California,CA,2 Hours ,3 Hours
Burbank,BUR,2 Hours ,3 Hours
Fresno,FAT,2 Hours ,3 Hours
Long Beach,LGB,2 Hours ,3 Hours
Los Angeles International Airport,LAX,2 Hours ,3 Hours
Oakland,OAK,2 Hours ,3 Hours
Ontario,ONT,2 Hours ,3 Hours
Palm Springs,PSP,2 Hours ,3 Hours
Sacramento,SMF,2 Hours ,3 Hours
San Diego,SAN,2 Hours ,3 Hours
San Francisco International Airport,SFO,2 Hours ,3 Hours
San Jose,SJC,2 Hours ,3 Hours
Santa Ana,SNA,2 Hours ,3 Hours
Colorado,CO,2 Hours ,3 Hours
Aspen,ASE,2 Hours ,3 Hours
Colorado Springs,COS,2 Hours ,3 Hours
Denver International Airport,DEN,2 Hours ,3 Hours
Grand Junction,GJT,2 Hours ,3 Hours
Pueblo,PUB,2 Hours ,3 Hours
Connecticut,CT,2 Hours ,3 Hours
Hartford,BDL,2 Hours ,3 Hours
District of Columbia,DC,2 Hours ,3 Hours
"Washington,ÿDulles International Airport",IAD,2 Hours ,3 Hours
Washington National Airport,DCA,2 Hours ,3 Hours
Florida,FL,2 Hours ,3 Hours
Daytona Beach,DAB,2 Hours ,3 Hours
Fort Lauderdale-Hollywood International Airport,FLL,2 Hours ,3 Hours
Fort Meyers,RSW,2 Hours ,3 Hours
Jacksonville,JAX,2 Hours ,3 Hours
Key West International Airport,EYW,2 Hours ,3 Hours
Miami International Airport,MIA,2 Hours ,3 Hours
Orlando,MCO,2 Hours ,3 Hours
Pensacola,PNS,2 Hours ,3 Hours
St. Petersburg,PIE,2 Hours ,3 Hours
Sarasota,SRQ,2 Hours ,3 Hours
Tampa,TPA,2 Hours ,3 Hours
West Palm Beach,PBI,2 Hours ,3 Hours
Panama City-Bay County International Airport,PFN,2 Hours ,3 Hours
Georgia,GA,2 Hours ,3 Hours
Atlanta Hartsfield International Airport,ATL,2 Hours ,3 Hours
Augusta,AGS,2 Hours ,3 Hours
Savannah,SAV,2 Hours ,3 Hours
Hawaii,HI,2 Hours ,3 Hours
Hilo,ITO,2 Hours ,3 Hours
Honolulu International Airport,HNL,2 Hours ,3 Hours
Kahului,OGG,2 Hours ,3 Hours
Kailua,KOA,2 Hours ,3 Hours
Lihue,LIH,2 Hours ,3 Hours
Idaho,ID,2 Hours ,3 Hours
Boise,BOI,2 Hours ,3 Hours
Illinois,IL,2 Hours ,3 Hours
Chicago Midway Airport,MDW,2 Hours ,3 Hours
"Chicago,ÿO'Hare International Airport Airport",ORD,2 Hours ,3 Hours
Moline,MLI,2 Hours ,3 Hours
Peoria,PIA,2 Hours ,3 Hours
Indiana,IN,2 Hours ,3 Hours
Evansville,EVV,2 Hours ,3 Hours
Fort Wayne,FWA,2 Hours ,3 Hours
Indianapolis International Airport,IND,2 Hours ,3 Hours
South Bend,SBN,2 Hours ,3 Hours
Iowa,IA,2 Hours ,3 Hours
Cedar Rapids,CID,2 Hours ,3 Hours
Des Moines,DSM,2 Hours ,3 Hours
Kansas,KS,2 Hours ,3 Hours
Wichita,ICT,2 Hours ,3 Hours
Kentucky,KY,2 Hours ,3 Hours
Lexington,LEX,2 Hours ,3 Hours
Louisville,SDF,2 Hours ,3 Hours
Louisiana,LA,2 Hours ,3 Hours
Baton Rouge,BTR,2 Hours ,3 Hours
New Orleans International Airport,MSY,2 Hours ,3 Hours
Shreveport,SHV,2 Hours ,3 Hours
Maine,ME,2 Hours ,3 Hours
Augusta,AUG,2 Hours ,3 Hours
Bangor,BGR,2 Hours ,3 Hours
Portland,PWM,2 Hours ,3 Hours
Maryland,MD,2 Hours ,3 Hours
Baltimore,BWI,2 Hours ,3 Hours
Massachusetts,MA,2 Hours ,3 Hours
"Boston, Logan International Airport",BOS,2 Hours ,3 Hours
Hyannis,HYA,2 Hours ,3 Hours
Nantucket,ACK,2 Hours ,3 Hours
Worcester,ORH,2 Hours ,3 Hours
Michigan,MI,2 Hours ,3 Hours
Battlecreek,BTL,2 Hours ,3 Hours
Detroit Metropolitan Airport,DTW,2 Hours ,3 Hours
Detroit,DET,2 Hours ,3 Hours
Flint,FNT,2 Hours ,3 Hours
Grand Rapids,GRR,2 Hours ,3 Hours
Kalamazoo-Battle Creek International Airport,AZO,2 Hours ,3 Hours
Lansing,LAN,2 Hours ,3 Hours
Saginaw,MBS,2 Hours ,3 Hours
Minnesota,MN,2 Hours ,3 Hours
Duluth,DLH,2 Hours ,3 Hours
Minneapolis/St.Paul International Airport,MSP,2 Hours ,3 Hours
Rochester,RST,2 Hours ,3 Hours
Mississippi,MS,2 Hours ,3 Hours
Gulfport,GPT,2 Hours ,3 Hours
Jackson,JAN,2 Hours ,3 Hours
Missouri,MO,2 Hours ,3 Hours
Kansas City,MCI,2 Hours ,3 Hours
"St Louis, Lambert International Airport",STL,2 Hours ,3 Hours
Springfield,SGF,2 Hours ,3 Hours
Montana,MT,2 Hours ,3 Hours
Billings,BIL,2 Hours ,3 Hours
Nebraska,NE,2 Hours ,3 Hours
Lincoln,LNK,2 Hours ,3 Hours
Omaha,OMA,2 Hours ,3 Hours
Nevada,NV,2 Hours ,3 Hours
"Las Vegas,ÿLas Vegas McCarran International Airport",LAS,2 Hours ,3 Hours
Reno-Tahoe International Airport,RNO,2 Hours ,3 Hours
New Hampshire,NH,2 Hours ,3 Hours
Manchester,MHT,2 Hours ,3 Hours
New Jersey,NJ,2 Hours ,3 Hours
Atlantic City International Airport,ACY,2 Hours ,3 Hours
Newark International Airport,EWR,2 Hours ,3 Hours
Trenton,TTN,2 Hours ,3 Hours
New Mexico,NM,2 Hours ,3 Hours
Albuquerque International Airport,ABQ,2 Hours ,3 Hours
Alamogordo,ALM,2 Hours ,3 Hours
New York,NY,2 Hours ,3 Hours
Albany International Airport,ALB,2 Hours ,3 Hours
Buffalo,BUF,2 Hours ,3 Hours
Islip,ISP,2 Hours ,3 Hours
"New York,ÿJohn F Kennedy International Airport",JFK,2 Hours ,3 Hours
"New York,ÿLa Guardia Airport",LGA,2 Hours ,3 Hours
Newburgh,SWF,2 Hours ,3 Hours
Rochester,ROC,2 Hours ,3 Hours
Syracuse,SYR,2 Hours ,3 Hours
Westchester,HPN,2 Hours ,3 Hours
North Carolina,NC,2 Hours ,3 Hours
Asheville,AVL,2 Hours ,3 Hours
Charlotte/Douglas International Airport,CLT,2 Hours ,3 Hours
Fayetteville,FAY,2 Hours ,3 Hours
Greensboro,GSO,2 Hours ,3 Hours
Raleigh,RDU,2 Hours ,3 Hours
Winston-Salem,INT,2 Hours ,3 Hours
North Dakota,ND,2 Hours ,3 Hours
Bismark,BIS,2 Hours ,3 Hours
Fargo,FAR,2 Hours ,3 Hours
Ohio,OH,2 Hours ,3 Hours
Akron,CAK,2 Hours ,3 Hours
Cincinnati,CVG,2 Hours ,3 Hours
Cleveland,CLE,2 Hours ,3 Hours
Columbus,CMH,2 Hours ,3 Hours
Dayton,DAY,2 Hours ,3 Hours
Toledo,TOL,2 Hours ,3 Hours
Oklahoma,OK,2 Hours ,3 Hours
Oklahoma City,OKC,2 Hours ,3 Hours
Tulsa,TUL,2 Hours ,3 Hours
Oregon,OR,2 Hours ,3 Hours
Eugene,EUG,2 Hours ,3 Hours
Portland International Airport,PDX,2 Hours ,3 Hours
"Portland, Hillsboro Airport",HIO,2 Hours ,3 Hours
Salem,SLE,2 Hours ,3 Hours
Pennsylvania,PA,2 Hours ,3 Hours
Allentown,ABE,2 Hours ,3 Hours
Erie,ERI,2 Hours ,3 Hours
Harrisburg,MDT,2 Hours ,3 Hours
Philadelphia,PHL,2 Hours ,3 Hours
Pittsburgh,PIT,2 Hours ,3 Hours
Scranton,AVP,2 Hours ,3 Hours
Rhode Island,RI,2 Hours ,3 Hours
Providence - T.F. Green Airport,PVD,2 Hours ,3 Hours
South Carolina,SC,2 Hours ,3 Hours
Charleston,CHS,2 Hours ,3 Hours
Columbia,CAE,2 Hours ,3 Hours
Greenville,GSP,2 Hours ,3 Hours
Myrtle Beach,MYR,2 Hours ,3 Hours
South Dakota,SD,2 Hours ,3 Hours
Pierre,PIR,2 Hours ,3 Hours
Rapid City,RAP,2 Hours ,3 Hours
Sioux Falls,FSD,2 Hours ,3 Hours
Tennessee,TN,2 Hours ,3 Hours
Bristol,TRI,2 Hours ,3 Hours
Chattanooga,CHA,2 Hours ,3 Hours
Knoxville,TYS,2 Hours ,3 Hours
Memphis,MEM,2 Hours ,3 Hours
Nashville,BNA,2 Hours ,3 Hours
Texas,TX,2 Hours ,3 Hours
Amarillo,AMA,2 Hours ,3 Hours
Austin Bergstrom International Airport,AUS,2 Hours ,3 Hours
Corpus Christi,CRP,2 Hours ,3 Hours
Dallas Love Field Airport,DAL,2 Hours ,3 Hours
Dallas/Fort Worth International Airport,DFW,2 Hours ,3 Hours
El Paso,ELP,2 Hours ,3 Hours
"Houston, William B Hobby Airport",HOU,2 Hours ,3 Hours
"Houston, George Bush Intercontinental Airport",IAH,2 Hours ,3 Hours
Lubbock,LBB,2 Hours ,3 Hours
Midland,MAF,2 Hours ,3 Hours
San Antonio International Airport,SAT,2 Hours ,3 Hours
Utah,UT,2 Hours ,3 Hours
Salt Lake City,SLC,2 Hours ,3 Hours
Vermont,VT,2 Hours ,3 Hours
Burlington,BTV,2 Hours ,3 Hours
Montpelier,MPV,2 Hours ,3 Hours
Rutland,RUT,2 Hours ,3 Hours
Virginia,VA,2 Hours ,3 Hours
Dulles,IAD,2 Hours ,3 Hours
Newport News,PHF,2 Hours ,3 Hours
Norfolk,ORF,2 Hours ,3 Hours
Richmond,RIC,2 Hours ,3 Hours
Roanoke,ROA,2 Hours ,3 Hours
Washington,WA,2 Hours ,3 Hours
"Pasco, Pasco/Tri-Cities Airport",PSC,2 Hours ,3 Hours
"Seattle, Tacoma International Airport",SEA,2 Hours ,3 Hours
Spokane International Airport,GEG,2 Hours ,3 Hours
West Virginia,WV,2 Hours ,3 Hours
Charleston,CRW,2 Hours ,3 Hours
Clarksburg,CKB,2 Hours ,3 Hours
Huntington Tri-State Airport,HTS,2 Hours ,3 Hours
Wisconsin,WI,2 Hours ,3 Hours
Green Bay,GRB,2 Hours ,3 Hours
Madison,MSN,2 Hours ,3 Hours
Milwaukee,MKE,2 Hours ,3 Hours
Wyoming,WY,2 Hours ,3 Hours
Casper,CPR,2 Hours ,3 Hours
Cheyenne,CYS,2 Hours ,3 Hours
Jackson Hole,JAC,2 Hours ,3 Hours
Rock Springs,RKS,2 Hours ,3 Hours
